elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
-3.975950277,2.790071057,54.90577038,6.107540342,6.493757983,0.927173788,-109.8115408,12.21508068,clay,Clay (%),WAIC,simple,No,Fixed effects only
0,0,58.46647245,5.935952686,14.45890417,1.780282699,-116.9329449,11.87190537,clay,Clay (%),LOO,strip.plot.random,Yes,Strip and plot random effects
-3.600975485,2.820735654,54.86549696,6.114924449,6.534031406,0.934730474,-109.7309939,12.2298489,clay,Clay (%),LOO,simple,No,Fixed effects only
-3.691370705,2.424461076,54.77510174,6.438038897,9.585332911,1.323085278,-109.5502035,12.87607779,clay,Clay (%),LOO,strip.random,No,Strip random effects
0,0,214.7836614,12.48782286,8.479865481,3.308999125,-429.5673227,24.97564572,ph,pH,WAIC,simple,Yes,Fixed effects only
-0.67074962,0.326415867,214.1129117,12.45618849,9.537242213,3.360740744,-428.2258235,24.91237697,ph,pH,WAIC,strip.random,No,Strip random effects
-1.39720558,0.724118994,213.3864558,12.2209994,11.20284994,3.626514812,-426.7729116,24.44199881,ph,pH,WAIC,strip.plot.random,No,Strip and plot random effects
0,0,214.5380585,12.67489832,8.725468398,3.510032302,-429.0761169,25.34979665,ph,pH,LOO,simple,Yes,Fixed effects only
-0.719088269,0.330970966,213.8189702,12.64593018,9.831183779,3.560749032,-427.6379404,25.29186036,ph,pH,LOO,strip.random,No,Strip random effects
-1.436435845,0.755173456,213.1016226,12.3552102,11.48768312,3.764984422,-426.2032452,24.7104204,ph,pH,LOO,strip.plot.random,No,Strip and plot random effects
0,0,52.13805169,8.530433655,13.12155562,2.617168193,-104.2761034,17.06086731,p,P (ppm),WAIC,strip.plot.random,Yes,Strip and plot random effects
-0.227775802,2.100111592,51.91027588,8.872965377,7.246323097,1.916386504,-103.8205518,17.74593075,p,P (ppm),WAIC,simple,No,Fixed effects only
-0.854433169,1.409097752,51.28361852,8.612277528,10.04348452,2.318313298,-102.567237,17.22455506,p,P (ppm),WAIC,strip.random,No,Strip random effects
0,0,51.81663535,8.926584091,7.339963628,1.975349206,-103.6332707,17.85316818,p,P (ppm),LOO,simple,Yes,Fixed effects only
-0.118320939,2.13825723,51.69831441,8.661099159,13.56129289,2.750151531,-103.3966288,17.32219832,p,P (ppm),LOO,strip.plot.random,No,Strip and plot random effects
-0.763767565,0.998098568,51.05286779,8.679134784,10.27423525,2.387293452,-102.1057356,17.35826957,p,P (ppm),LOO,strip.random,No,Strip random effects
