model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,X5,X95,X25,X75
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,A,Balled-and-burlapped,0.951429231,0.89607089,1.009846132,0.930905526,0.972729165
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,B,Bareroot,0.856062074,0.809289788,0.905031006,0.83918105,0.876538926
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,C,Seedling,0.859221762,0.811049354,0.907709826,0.841365089,0.878764088
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,D,Acorn,0.77200315,0.723214063,0.825337002,0.754188782,0.793130289
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,E,Seedbank,0.885886368,0.838039935,0.936135554,0.867262052,0.905090694
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,R,Reference,0.931897417,0.866565622,1.005901958,0.908888437,0.956730623
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,A,Balled-and-burlapped,0.951360843,0.888194673,1.012012786,0.92813517,0.974470246
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,B,Bareroot,0.855975565,0.803737241,0.910501148,0.8355341,0.87677933
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,C,Seedling,0.858991213,0.806628285,0.914184992,0.839155723,0.880475512
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,D,Acorn,0.77179428,0.718765178,0.827704876,0.753320322,0.795274531
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,E,Seedbank,0.885074286,0.833503244,0.943676542,0.865896706,0.908165622
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,R,Reference,0.93197579,0.859753928,1.004382814,0.906296973,0.957854553
simple,Fixed effects only,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,A,Balled-and-burlapped,0.000672744,0.000267665,0.001710344,0.000572158,0.001194439
simple,Fixed effects only,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,B,Bareroot,0.000882048,0.000384769,0.002091143,0.000798734,0.001532361
simple,Fixed effects only,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,C,Seedling,0.001598894,0.000892927,0.002866655,0.001474461,0.002297737
simple,Fixed effects only,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,D,Acorn,0.000573496,0.000219774,0.001497043,0.000462879,0.001008311
simple,Fixed effects only,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,E,Seedbank,0.000544266,0.000208276,0.001449838,0.000441109,0.000968367
simple,Fixed effects only,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,R,Reference,0.003100765,0.00226933,0.004238364,0.002873521,0.003678481
strip.random,Strip random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,A,Balled-and-burlapped,0.000669058,0.000247187,0.001869123,0.000533311,0.001190236
strip.random,Strip random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,B,Bareroot,0.000830842,0.000332958,0.002122765,0.000699321,0.001449974
strip.random,Strip random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,C,Seedling,0.001505634,0.000727157,0.003032017,0.001335318,0.00228271
strip.random,Strip random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,D,Acorn,0.000581867,0.000206253,0.001625822,0.000434741,0.001001906
strip.random,Strip random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,E,Seedbank,0.000530141,0.000196323,0.001488551,0.000418665,0.000956593
strip.random,Strip random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,R,Reference,0.002759931,0.00138504,0.005230474,0.002445097,0.003808006
strip.plot.random,Strip and plot random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,A,Balled-and-burlapped,0.000640137,0.000209324,0.001961491,0.000461315,0.001113297
strip.plot.random,Strip and plot random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,B,Bareroot,0.000784194,0.00027169,0.002198655,0.000607223,0.001387923
strip.plot.random,Strip and plot random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,C,Seedling,0.001368118,0.000564925,0.003321686,0.001106024,0.002193439
strip.plot.random,Strip and plot random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,D,Acorn,0.000558222,0.00017629,0.001716307,0.000396136,0.000980254
strip.plot.random,Strip and plot random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,E,Seedbank,0.000513114,0.00016616,0.001547285,0.000352482,0.000860123
strip.plot.random,Strip and plot random effects,root.fragment.density,Root and wood fragment density (g/cm3),0.001320692,R,Reference,0.002308291,0.000923304,0.005697579,0.001858416,0.003659445
simple,Fixed effects only,sand,Sand (%),40.73333333,A,Balled-and-burlapped,38.01016347,36.12157461,40.07483437,37.22297886,38.82867406
simple,Fixed effects only,sand,Sand (%),40.73333333,B,Bareroot,39.34611702,37.4065077,41.34793819,38.59261888,40.19804871
simple,Fixed effects only,sand,Sand (%),40.73333333,C,Seedling,40.08445814,38.1421691,42.08295023,39.30846457,40.91201504
simple,Fixed effects only,sand,Sand (%),40.73333333,D,Acorn,40.08373977,38.16310712,42.09050983,39.33235695,40.9328242
simple,Fixed effects only,sand,Sand (%),40.73333333,E,Seedbank,41.01175805,39.11574267,43.05450064,40.2742638,41.87690872
simple,Fixed effects only,sand,Sand (%),40.73333333,R,Reference,45.54607055,43.58847965,47.53585899,44.78683218,46.39636799
strip.random,Strip random effects,sand,Sand (%),40.73333333,A,Balled-and-burlapped,37.6667244,34.53548101,40.98625235,36.55712874,38.94714806
strip.random,Strip random effects,sand,Sand (%),40.73333333,B,Bareroot,39.32075649,36.52097961,42.2548008,38.28277181,40.47838215
strip.random,Strip random effects,sand,Sand (%),40.73333333,C,Seedling,40.04938307,37.21823633,43.0282412,39.03935541,41.24905559
strip.random,Strip random effects,sand,Sand (%),40.73333333,D,Acorn,40.13302439,36.99366958,43.62940207,38.89124394,41.33744326
strip.random,Strip random effects,sand,Sand (%),40.73333333,E,Seedbank,40.99939127,38.11174018,43.97931526,39.95050872,42.19113303
strip.random,Strip random effects,sand,Sand (%),40.73333333,R,Reference,45.55655861,41.152394,50.47903723,43.95820397,47.14915332
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,A,Balled-and-burlapped,37.78206591,34.23002683,41.79593199,36.409802,39.30145475
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,B,Bareroot,39.26684266,35.70789353,43.02865343,37.94849216,40.74955629
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,C,Seedling,40.00617884,36.5365137,43.90747605,38.63059645,41.47197322
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,D,Acorn,40.07828315,36.36705756,44.27070771,38.66096221,41.64138301
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,E,Seedbank,40.90104731,37.29758918,44.89001119,39.54740196,42.40968789
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,R,Reference,45.40077234,40.67129498,50.88323559,43.71953411,47.36576716
simple,Fixed effects only,silt,Silt (%),42.11111111,A,Balled-and-burlapped,44.48703731,42.65727093,46.3777273,43.75209365,45.28051317
simple,Fixed effects only,silt,Silt (%),42.11111111,B,Bareroot,42.62234849,40.8435716,44.57395915,41.92533446,43.42850819
simple,Fixed effects only,silt,Silt (%),42.11111111,C,Seedling,43.09099755,41.32292413,45.03082447,42.3782989,43.88636234
simple,Fixed effects only,silt,Silt (%),42.11111111,D,Acorn,42.5567221,40.75056394,44.46651471,41.81955091,43.32945086
simple,Fixed effects only,silt,Silt (%),42.11111111,E,Seedbank,41.48416139,39.71107518,43.43926924,40.78087756,42.29651361
simple,Fixed effects only,silt,Silt (%),42.11111111,R,Reference,38.14810817,36.31849863,39.99913952,37.45210585,38.94948285
strip.random,Strip random effects,silt,Silt (%),42.11111111,A,Balled-and-burlapped,44.67904173,42.03909894,47.56089771,43.64148388,45.71578481
strip.random,Strip random effects,silt,Silt (%),42.11111111,B,Bareroot,42.58527708,40.20624597,45.05885307,41.74107597,43.62361806
strip.random,Strip random effects,silt,Silt (%),42.11111111,C,Seedling,43.05941551,40.63966142,45.5081265,42.12769771,44.00143783
