"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"A","Balled-and-burlapped",16.4206866370357,16.060101096397,16.8137482221427,16.2695646196429,16.574425989996
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"B","Bareroot",16.6701198079436,16.1304804044126,17.2072821818978,16.4550098352743,16.8917350464096
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"C","Seedling",16.3928659458078,15.8716795418859,16.9358257243135,16.1866818458644,16.6186423789034
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"D","Acorn",17.6816353818982,17.1368666624646,18.2560536582775,17.4501603600942,17.8988147760996
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"E","Seedbank",17.3276771362598,16.7785658081017,17.877369894069,17.0970453064739,17.544091255361
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"R","Reference",17.0637240798551,16.523404987082,17.6136498167058,16.8377582758522,17.2790492418626
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"A","Balled-and-burlapped",16.3845534514033,15.8044940212314,16.9501672027631,16.1805517704217,16.6082660874354
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"B","Bareroot",16.7024867510592,15.9545861777769,17.5191714478144,16.4239411863879,17.0164189155001
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"C","Seedling",16.4277551016363,15.6759384633207,17.205797518829,16.1260064667387,16.7126767981733
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"D","Acorn",17.6369987643148,16.7972247200905,18.5116624001179,17.3149724812661,17.9555146447314
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"E","Seedbank",17.3598290680133,16.5448832471523,18.1539671127448,17.0573077690924,17.6671156190406
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"R","Reference",17.1026211297352,16.1656368490343,18.0563779711104,16.750570899752,17.4344597674026
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"A","Balled-and-burlapped",16.3995177676675,15.5852927702893,17.2221160151144,16.100966186458,16.7310012345454
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"B","Bareroot",16.685870401815,15.5936485637972,17.8783038577892,16.2568476666704,17.1274371451723
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"C","Seedling",16.4134616074861,15.2916928466018,17.5626096108965,15.9567444766623,16.8265078165709
