Rep,Treatment_Plot_Quadrat,Dry POM mass (g),POC-N-8hr (%),POC-8hr (%),POC-N-24hr (%),POC-24hr (%),POC-N-24-hr scaled (%),POC-24-hr scaled (%)
B,E1 Q4,0.364,0.89,9.57,1.1,13.46,0.040,0.49
B,E1 Q5,0.84,0.96,13.67,1.07,15.07,0.090,1.27
B,E2 Q1,0.416,0.84,12.13,0.99,12.03,0.041,0.50
B,E2 Q2,0.423,0.79,10.9,0.98,11.84,0.041,0.50
B,E2 Q3,0.446,0.79,9.99,1,11.58,0.045,0.52
B,E2 Q4,0.845,0.46,7.78,0.68,9.4,0.057,0.79
B,E2 Q5,0.391,0.75,8.65,1.04,11.93,0.041,0.47
B,E3 Q1,0.506,0.47,8.28,0.58,8.9,0.029,0.45
B,E3 Q2,0.538,0.59,6.61,0.86,10.17,0.046,0.55
B,E3 Q3,0.572,0.52,5.98,0.83,10.57,0.047,0.60
B,E3 Q4,0.541,0.51,5.86,0.88,10.81,0.048,0.58
B,E3 Q5,0.4,0.49,5.35,0.9,11.22,0.036,0.45
B,R1 Q1,0.831,0.3,5.59,0.57,8.78,0.047,0.73
B,R1 Q2,0.882,0.3,5.48,0.6,8.94,0.053,0.79
B,R1 Q3,0.867,0.33,5.99,0.76,11.92,0.066,1.03
B,R1 Q4,0.606,0.28,4.92,0.59,8.61,0.036,0.52
B,R1 Q5,0.461,0.38,6.26,0.99,13.51,0.046,0.62
B,R2 Q1,0.293,0.43,6.53,0.99,12.84,0.029,0.38
B,R2 Q2,0.597,0.33,5.4,0.87,11.3,0.052,0.67
B,R2 Q3,0.463,0.31,5.43,0.84,11.03,0.039,0.51
B,R2 Q4,0.496,0.4,6.4,1.15,15.84,0.057,0.79
B,R2 Q5,0.578,0.34,5.82,1.08,14.98,0.062,0.87
B,R3 Q1,0.678,0.3,5.02,0.66,9.79,0.045,0.66
B,R3 Q2,0.633,0.29,5.19,0.9,11.69,0.057,0.74
B,R3 Q3,0.543,0.35,6.31,1.23,16.7,0.067,0.91
B,R3 Q4,0.464,0.27,5.14,1.01,13.65,0.047,0.63
B,R3 Q5,0.56,0.24,4.38,0.81,10.68,0.045,0.60
