Date,Treatment_Plot,Quadrat,Depth range (cm),Mass of weighing boat (g),Mass of boat + wet soil + coarse rocks/roots (g),Mass of boat + dry soil + coarse rocks/roots (g),Mass of water (g),Mass of dry soil + coarse rocks/roots (g),Mass of weighing tin (g),Mass of weighing tin + coarse rocks/roots (g),Mass of coarse material (g),Mass of coarse roots and wood fragments(g),Mass of dry soil (g),Start volume (mL),End volume (mL),Volume of coarse rocks/roots/debris (mL),Volume soil core (cm3),Corrected volume (cm3),Gravimetric moistue (%),Volumetric moisture (g/cm3),Bulk density (g/cm3),Root and wood fragment density (g/cm3),Note
45090,C2,Q2,15-30,12.95,389.59,315.48,74.11,302.53,,,0,0,302.53,,,0,318.5574951,318.5574951,0.244967441,0.232642462,0.949687277,0,
45090,C2,Q3,0-15,12.88,367.74,303.83,63.91,290.95,2.2162,3.0366,0.8204,0.657,290.1296,80,81.5,1.5,318.5574951,317.0574951,0.220280868,0.201572273,0.915069363,0.002072179,
45090,C2,Q3,15-30,12.87,388.98,314.31,74.67,301.44,2.2162,2.3609,0.1447,0.126,301.2953,15,15.3,0.3,318.5574951,318.2574951,0.247829953,0.23462134,0.94670292,0.000395906,
45090,C2,Q4,0-15,12.75,359.82,295.12,64.7,282.37,,,0,0,282.37,,,0,318.5574951,318.5574951,0.22913199,0.203103054,0.886401998,0,
45090,C2,Q4,15-30,12.75,372.59,302.02,70.57,289.27,2.2162,2.7668,0.5506,0.49,288.7194,80,81,1,318.5574951,317.5574951,0.244424171,0.222227474,0.909187799,0.001543028,
45090,C2,Q5,0-15,12.86,327.02,268.6,58.42,255.74,2.2162,2.4784,0.2622,0.238,255.4778,15,15.3,0.3,318.5574951,318.2574951,0.228669575,0.183562056,0.802739304,0.000747822,
45090,C2,Q5,15-30,12.8,373.01,302.76,70.25,289.96,2.2162,3.2462,1.03,0.747,288.93,80,81.5,1.5,318.5574951,317.0574951,0.243138476,0.221568646,0.911285822,0.00235604,
45090,C3,Q1,0-15,13.43,325.65,256.16,69.49,242.73,2.2162,3.8609,1.6447,1.363,241.0853,80,86,6,318.5574951,312.5574951,0.288238229,0.222327095,0.771331047,0.004360798,
45090,C3,Q1,15-30,13.41,319.08,261.29,57.79,247.88,2.2162,2.5266,0.3104,0.241,247.5696,15,15.6,0.6,318.5574951,317.9574951,0.233429306,0.181753854,0.778624828,0.000757963,
45090,C3,Q2,0-15,13.05,358.8,300.76,58.04,287.71,2.2162,2.9635,0.7473,0.312,286.9627,80,81,1,318.5574951,317.5574951,0.202256251,0.182770052,0.903655887,0.000982499,
45090,C3,Q2,15-30,12.92,297.47,247.85,49.62,234.93,2.2162,2.2943,0.0781,0.07,234.8519,15,15.2,0.2,318.5574951,318.3574951,0.211282089,0.155862515,0.737698668,0.000219879,
45090,C3,Q3,0-15,13.5,372.71,297.71,75,284.21,2.2162,2.2805,0.0643,0.048,284.1457,15,15.2,0.2,318.5574951,318.3574951,0.263949094,0.235584213,0.892536549,0.000150774,
45090,C3,Q3,15-30,12.96,400.6,326.63,73.97,313.67,2.2162,2.3861,0.1699,0.033,313.5001,15,15.2,0.2,318.5574951,318.3574951,0.235948888,0.232348857,0.984742325,0.000103657,
45090,C3,Q4,0-15,13.41,307.76,244.74,63.02,231.33,2.2162,3.3316,1.1154,0.884,230.2146,80,82.5,2.5,318.5574951,316.0574951,0.273744584,0.199394101,0.728394686,0.002796959,
45090,C3,Q4,15-30,13.45,267.26,216.15,51.11,202.7,2.2162,6.5454,4.3292,4.012,198.3708,180,188,8,318.5574951,310.5574951,0.257648807,0.164575001,0.638757084,0.012918703,
45090,C3,Q5,0-15,13.07,353.13,288.23,64.9,275.16,2.2162,2.4524,0.2362,0.172,274.9238,15,15.3,0.3,318.5574951,318.2574951,0.236065412,0.203922927,0.863840771,0.000540443,
45090,C3,Q5,15-30,12.74,337.22,277.44,59.78,264.7,2.2162,2.2822,0.066,0.049,264.634,15,15.3,0.3,318.5574951,318.2574951,0.225896899,0.187835325,0.83150909,0.000153963,
45091,D1,Q1,0-15,13.1,316.5,226.11,90.39,213.01,2.2162,2.5305,0.3143,1.28,212.6957,80,86,6,318.5574951,312.5574951,0.42497333,0.289194793,0.680501039,0.004095247,
45091,D1,Q1,15-30,12.9,356.05,264.1,91.95,251.2,2.2162,2.8351,0.6189,0.158,250.5811,80,82,2,318.5574951,316.5574951,0.366947068,0.290468561,0.791581637,0.000499119,
45091,D1,Q2,0-15,12.91,358.93,279.71,79.22,266.8,2.2162,2.2295,0.0133,0.008,266.7867,80,80.1,0.1,318.5574951,318.4574951,0.296941339,0.248761613,0.837746651,2.51211E-05,
45091,D1,Q2,15-30,12.85,329.87,259.26,70.61,246.41,2.2162,2.2551,0.0389,0,246.3711,80,80.5,0.5,318.5574951,318.0574951,0.286600173,0.222003886,0.774611835,0,
45091,D1,Q3,0-15,13,355.81,276.93,78.88,263.93,2.2162,2.5476,0.3314,0.165,263.5986,80,81.5,1.5,318.5574951,317.0574951,0.299242864,0.248787684,0.831390534,0.00052041,
45091,D1,Q3,15-30,12.95,300.96,230.44,70.52,217.49,2.2162,2.3311,0.1149,0.111,217.3751,80,80.5,0.5,318.5574951,318.0574951,0.324416182,0.221720919,0.683445928,0.000348994,
45091,D1,Q4,0-15,12.89,309.42,221.24,88.18,208.35,,,0,0,208.35,,,0,318.5574951,318.5574951,0.423230142,0.276810313,0.654042059,0,
45091,D1,Q4,15-30,12.92,360.57,262.91,97.66,249.99,,,0,0,249.99,,,0,318.5574951,318.5574951,0.390655626,0.306569462,0.784756296,0,
45091,D1,Q5,0-15,12.84,311.35,240.47,70.88,227.63,2.2162,2.4072,0.191,0.08,227.439,80,81,1,318.5574951,317.5574951,0.311644001,0.223203675,0.71621361,0.000251923,
45091,D1,Q5,15-30,12.94,336.46,261.98,74.48,249.04,2.2162,2.6642,0.448,0.332,248.592,80,81,1,318.5574951,317.5574951,0.299607389,0.234540205,0.78282517,0.00104548,
45091,D2,Q1,0-15,12.85,310.28,261.41,48.87,248.56,2.2162,2.4231,0.2069,0,248.3531,80,80.6,0.6,318.5574951,317.9574951,0.196776283,0.153699789,0.781088994,0,
45091,D2,Q1,15-30,12.77,368.3,295.12,73.18,282.35,,,0,0,282.35,,,0,318.5574951,318.5574951,0.259181866,0.229723052,0.886339215,0,
45091,D2,Q2,0-15,12.94,408.89,331.06,77.83,318.12,2.2162,2.3445,0.1283,0.054,317.9917,80,80.5,0.5,318.5574951,318.0574951,0.244754816,0.244704185,0.999793135,0.000169781,
45091,D2,Q2,15-30,12.9,243.45,185.4,58.05,172.5,2.2162,2.2889,0.0727,0.047,172.4273,80,80.4,0.4,318.5574951,318.1574951,0.336663626,0.182456805,0.541955801,0.000147726,
45091,D2,Q3,0-15,12.74,361.12,296.99,64.13,284.25,2.2162,2.2898,0.0736,0,284.1764,80,80.5,0.5,318.5574951,318.0574951,0.22566969,0.201630211,0.893474936,0,
45091,D2,Q3,15-30,12.9,317.53,248.38,69.15,235.48,2.2162,2.2509,0.0347,0,235.4453,15,15.2,0.2,318.5574951,318.3574951,0.293698791,0.217208645,0.73956261,0,
45091,D2,Q4,0-15,12.87,273.42,210.51,62.91,197.64,2.2162,4.4187,2.2025,1.399,195.4375,80,82,2,318.5574951,316.5574951,0.321893188,0.198731671,0.617383897,0.004419418,
45091,D2,Q4,15-30,12.78,328.83,249.4,79.43,236.62,2.2162,2.2943,0.0781,0,236.5419,15,15.2,0.2,318.5574951,318.3574951,0.335796745,0.249499387,0.743007165,0,
