"treatment","full.treatment.name","plot","total.cwd.carbon","intermediate.fwd.carbon","large.snag.carbon","dead.stem.carbon","abg.live.tree.carbon","bg.live.tree.carbon","total.live.tree.carbon","abg.live.stem.carbon","bg.live.stem.carbon","total.live.stem.carbon","snag.frax.live.carbon","snag.frax.dead.carbon","herbaceous.biomass.c.stock","mixed.biomass.c.stock","p.arundinacea.c.stock","h.japonicus.c.stock","herbaceous.litter.c.stock","small.fwd.carbon","fine.woody.debris.cn.ratio","herbaceous.litter.cn.ratio","herbaceous.biomass.cn.ratio"
"A","Balled-and-burlapped","1",0.772208534511271,0.404279294462689,3.61921069368372,0,105.344306189433,21.3128556233874,126.65716181282,0,0,0,10.2355445745168,3.61921069368372,0.1803568,0.1803568,0,0,1.94099837777778,1.5952426,41.3418803418803,17.7831858407079,11.0740740740741
"A","Balled-and-burlapped","3",3.22449690466199,2.58738748456121,3.94126753553023,0,221.789681645264,44.6676241969075,266.457305842172,0.0729668995313434,0.017009116030084,0.0899760155614274,9.39961052791827,3.31524054592614,0.247361,0.198832,0,0.048529,1.97889982222222,1.7765034,57.5357142857143,15.8165938864629,12.792284805086
"A","Balled-and-burlapped","2",0,1.21283788338807,3.18379755863826,0,50.9974361802374,10.4455805755676,61.443016755805,0,0,0,0,0,0.640691266666667,0.1696086,0,0.471082666666667,1.89600102222222,0.630991888888889,63.5333333333334,15.5488372093024,11.2360843340391
"B","Bareroot","1",8.5355961883377,1.69797303674329,18.0445610268456,0,8.65053554456604,1.83326502278154,10.4838005673476,0.0288062490893073,0.00671494658946088,0.0355211956787682,24.9044511275491,8.83956902802049,1.34995673333333,0.777948044444445,0.0384823555555555,0.533526333333334,2.75731377777778,3.59988408888889,44.983606557377,16.9158878504673,12.6490323440397
"B","Bareroot","2",15.8503796999717,3.31509021459405,17.8169156727288,0,70.7721068188676,14.8008104752654,85.572917294133,0,0,0,1.47762730590107,0.533867337987586,0.0181007111111111,0.0161896,0,0.00191111111111111,1.57617053333333,4.30283066666667,58.297619047619,18.3922651933701,9.15554256682329
"B","Bareroot","3",11.5000091302499,4.60878395687465,17.9348103631627,0,86.6595253549175,18.0903751862446,104.749900541162,0,0,0,1.58546224223871,0.590847515982301,0.280234111111112,0.104475,0.175759111111111,0,1.43395782222222,5.07358435555555,63.1688311688311,18.6836734693877,22.1225812676525
"C","Seedling","1",12.4014111854635,2.82995506123882,1.14353317689227,0,67.0569844737938,13.6874577237934,80.7444421975872,0,0,0,2.74080255956819,0.993498114786766,0.187830888888889,0.187830888888889,0,0,1.572786,0.309207822222222,33.8591549295774,17.4666666666667,11.0179104477612
"C","Seedling","2",5.07375559688977,2.34481990788359,15.2941539072448,0,194.032125712287,40.1377695018707,234.169895214158,0.0156021162326098,0.00363696699489502,0.0192390832275048,0.302883874741889,0.121313329721768,0.268893888888889,0.246820911111111,0,0.0220729777777778,1.77456426666667,2.79594066666667,49.2475247524752,18.8021390374332,25.0261632295974
"C","Seedling","3",0.864102153664975,2.26396404899106,7.65533195180144,0,214.031844856258,43.8592144575551,257.891059313813,0.00115086689619884,0.000268275460494524,0.00141914235669337,0,0,0.0530387111111111,0.0530387111111111,0,0,2.19794546666667,4.40723386666666,40.8220338983052,17.6972477064221,17.6017316017316
"D","Acorn","1",2.27966244787563,0.323423435570151,3.44472850756958,0.00930935910198783,14.0662707377008,2.9613286528823,17.0275993905831,0.00498556831313872,0.00116217230632994,0.00614774061946866,0,0,0.604708800000001,0.566574866666667,0.0199300444444444,0.0182038888888889,1.22091564444444,0.109733333333333,44.890909090909,17.3838383838383,20.6715907355793
