"treatment","full.treatment.name","plot","total.cwd.carbon","intermediate.fwd.carbon","large.snag.carbon","dead.stem.carbon","abg.live.tree.carbon","bg.live.tree.carbon","total.live.tree.carbon","abg.live.stem.carbon","bg.live.stem.carbon","total.live.stem.carbon","snag.frax.live.carbon","snag.frax.dead.carbon","herbaceous.biomass.c.stock","mixed.biomass.c.stock","p.arundinacea.c.stock","h.japonicus.c.stock","herbaceous.litter.c.stock","small.fwd.carbon","fine.woody.debris.cn.ratio","herbaceous.litter.cn.ratio","herbaceous.biomass.cn.ratio"
"A","Balled-and-burlapped","1",0.772208534511271,0.404279294462689,6.14225452261456,0,105.344306200213,21.3128556254934,126.657161825706,0,0,0,10.2355445745168,6.14225452261456,0.1803568,0.1803568,0,0,1.94099837777778,1.5952426,41.3418803418803,17.7831858407079,11.0740740740741
"A","Balled-and-burlapped","3",3.22449690466199,2.58738748456121,6.77958641063795,0,221.789681623553,44.6676241921213,266.457305815674,0.0729668995313434,0.017009116030084,0.0899760155614274,9.39961052791827,5.806616417192,0.247361,0.198832,0,0.048529,1.97889982222222,1.7765034,57.5357142857143,15.8165938864629,12.792284805086
"A","Balled-and-burlapped","2",0,1.21283788338807,5.51536819747467,0,50.9974361548278,10.4455805701851,61.4430167250129,0,0,0,0,0,0.640691266666667,0.1696086,0,0.471082666666667,1.89600102222222,0.630991888888889,63.5333333333334,15.5488372093024,11.2360843340391
"B","Bareroot","1",8.5355961883377,1.69797303674329,34.4161003984512,0,8.65053549441508,1.83326501214859,10.4838005065637,0.0288062490893073,0.00671494658946088,0.0355211956787682,24.9044511275491,14.8002688540565,1.34995673333333,0.777948044444445,0.0384823555555555,0.533526333333334,2.75731377777778,3.59988408888889,44.983606557377,16.9158878504673,12.6490323440397
"B","Bareroot","2",15.8503796999717,3.31509021459405,33.5658981014843,0,70.772106839822,14.8008104795459,85.5729173193679,0,0,0,1.47762730590107,0.810057385167546,0.0181007111111111,0.0161896,0,0.00191111111111111,1.57617053333333,4.30283066666667,58.297619047619,18.3922651933701,9.15554256682329
"B","Bareroot","3",11.5000091302499,4.60878395687465,34.0540714097018,0,86.659525380885,18.0903751915715,104.749900572457,0,0,0,1.58546224223871,0.842682879749297,0.280234111111112,0.104475,0.175759111111111,0,1.43395782222222,5.07358435555555,63.1688311688311,18.6836734693877,22.1225812676525
"C","Seedling","1",12.4014111854635,2.82995506123882,1.69333768430094,0,67.0569844704046,13.6874577231471,80.7444421935517,0,0,0,2.74080255956819,1.49510427350469,0.187830888888889,0.187830888888889,0,0,1.572786,0.309207822222222,33.8591549295774,17.4666666666667,11.0179104477612
"C","Seedling","2",5.07375559688977,2.34481990788359,28.7438158288879,0,194.032125802763,40.137769520643,234.169895323406,0.0156021162326098,0.00363696699489502,0.0192390832275048,0.302883874741889,0.157069970945963,0.268893888888889,0.246820911111111,0,0.0220729777777778,1.77456426666667,2.79594066666667,49.2475247524752,18.8021390374332,25.0261632295974
"C","Seedling","3",0.864102153664975,2.26396404899106,13.9840577151323,0,214.031844944156,43.8592144757441,257.8910594199,0.00115086689619884,0.000268275460494524,0.00141914235669337,0,0,0.0530387111111111,0.0530387111111111,0,0,2.19794546666667,4.40723386666666,40.8220338983052,17.6972477064221,17.6017316017316
"D","Acorn","1",2.27966244787563,0.323423435570151,6.45108812696225,0.00297414658325171,14.0662706694443,2.96132863853169,17.027599307976,0.00498556831313872,0.00116217230632994,0.00614774061946866,0,0,0.604708800000001,0.566574866666667,0.0199300444444444,0.0182038888888889,1.22091564444444,0.109733333333333,44.890909090909,17.3838383838383,20.6715907355793
"D","Acorn","2",4.07369331415164,0.565991012247764,6.27559898329098,0,76.4117283368961,15.7493677853535,92.1610961222496,0,0,0,0,0,0.670640133333333,0.146967333333333,0.0277856444444444,0.495887155555555,1.84958333333333,0.109405822222222,47.2745098039216,16.4285714285714,13.7647960307654
"D","Acorn","3",1.42766550138997,0.485135153355226,4.43980657910907,0,28.1653864465691,5.8930995829576,34.0584860295267,0,0,0,0,0,0.0573195555555556,0.00436888888888888,0.0529506666666667,0,2.95434275555556,0.150077955555556,43.9532710280375,16.7731958762886,15.3286345916136
"E","Seedbank","1",1.88351713459218,0.808558588925378,0.0813610488351382,0.0743536645812928,17.3385385984126,3.59861068971357,20.9371492881262,0.0822618771667889,0.0191758430544441,0.101437720221233,0,0,2.75919006666667,0.0316760888888888,1.723644,1.00386997777778,0.801415600000003,0,0,16.1923076923077,14.9294147226077
