"treatment","full.treatment.name","strip","plot","spp","genus","species","abC.ha1","abC.ha2","abC.ha3","bgC.ha1","bgC.ha2","bgC.ha3","bmC.ha1","bmC.ha2","bmC.ha3"
"E","Seedbank",1,1,"Salnig","Salix","nigra",15.5536536746513,15.7472825242724,17.3385385591139,2.93510517570849,3.26873326642401,3.59861068154889,18.4887588503598,19.0160157906964,20.9371492406628
"E","Seedbank",2,2,"Fraxpen","Fraxinus","pennsylvanica",12.5552166017079,12.1125679815016,16.4926964853899,2.36465671034031,2.50336862271302,3.40903402231028,14.9198733120482,14.6159366042146,19.9017305077002
"E","Seedbank",3,3,"Acesai","Acer","saccharinum",21.0211078773236,19.7597280023584,21.5773788976065,3.9632652496091,4.09279132208335,4.4683215631459,24.9843731269327,23.8525193244418,26.0457004607524
"E","Seedbank",3,3,"Salnig","Salix","nigra",2.52713464620456,2.47064411909939,2.54246944258318,0.484043449815986,0.521914490209108,0.537084625677001,3.01117809602054,2.9925586093085,3.07955406826018
"R","Reference",1,1,"Acesai","Acer","saccharinum",136.104702043521,128.719638819561,147.681804880073,25.5086820710323,26.3820918755115,30.2582191284481,161.613384114553,155.101730695073,177.940024008522
"R","Reference",1,1,"Celocc","Celtis","occidentalis",4.80573588608436,5.02517489725133,5.57921690242491,0.91682395676198,1.05690110897416,1.17331495624677,5.72255984284634,6.08207600622549,6.75253185867168
"R","Reference",1,1,"Ulmame","Ulmus","americana",5.72072379117621,6.03157188220127,6.38228270850333,1.09651100363131,1.27380500285177,1.34762692422694,6.81723479480752,7.30537688505304,7.72990963273026
"R","Reference",1,2,"Acesai","Acer","saccharinum",27.9030849691587,26.4029476733597,30.3954450906494,5.22442140233409,5.40648683758704,6.22390017635582,33.1275063714928,31.8094345109467,36.6193452670052
"R","Reference",1,2,"Celocc","Celtis","occidentalis",9.05255045611259,9.32282332662565,10.5070647138269,1.71649523524655,1.94617484965982,2.19300274657486,10.7690456913591,11.2689981762855,12.7000674604017
"R","Reference",1,2,"Gletria","Gleditsia","triacanthos",4.9202972500289,4.37570227404038,4.58671180730572,0.930315917159248,0.911282844216372,0.955227645664954,5.85061316718815,5.28698511825675,5.54193945297067
"R","Reference",1,2,"Ulmame","Ulmus","americana",2.99235735130839,3.18482222519245,3.32762657147609,0.576054556682415,0.675679220489635,0.705973334797577,3.56841190799081,3.86050144568208,4.03359990627366
"R","Reference",1,3,"Acesai","Acer","saccharinum",38.1560482954924,35.9187490168626,39.6944942322514,7.1814520112375,7.42108622632073,8.19871656948606,45.3375003067299,43.3398352431833,47.8932108017375
