"treatment","full.treatment.name","strip","plot","spp","genus","species","abC.ha1","abC.ha2","abC.ha3","bgC.ha1","bgC.ha2","bgC.ha3","bmC.ha1","bmC.ha2","bmC.ha3"
"A","Balled-and-burlapped",2,3,"Quebic","Quercus","bicolor",10.0260057222087,9.68212456978985,12.0211710246566,1.90198222968434,2.0233378234359,2.51311245864843,11.9279879518931,11.7054623932258,14.5342834833051
"B","Bareroot",1,1,"Moralb","Morus","alba",0.0177222973575442,0.0212228753120251,0.0206179460955404,0.00412417682226389,0.00477327944486495,0.00463722360171496,0.0218464741798081,0.02599615475689,0.0252551696972554
"B","Bareroot",1,1,"Quebic","Quercus","bicolor",6.56407436424799,6.32215756054231,8.6299175984705,1.26227690424231,1.33919712121461,1.82862779917983,7.8263512684903,7.66135468175692,10.4585453976503
"B","Bareroot",2,2,"Acesai","Acer","saccharinum",67.9286300595096,63.5396008922147,66.7315726334204,12.8930622958242,13.273257943875,13.9338453140519,80.8216923553338,76.8128588360896,80.6654179474723
"B","Bareroot",2,2,"Fraxpen","Fraxinus","pennsylvanica",0.154024302024594,0.187654476756529,0.267900151943158,0.0320564768285499,0.0412472304466906,0.0588867200175857,0.186080778853144,0.22890170720322,0.326786871960744
"B","Bareroot",2,2,"Popdel","Populus","deltoides",0.978236875563487,0.946876791666583,1.67365397178785,0.188481464567767,0.20102628522706,0.355324413551049,1.16671834013125,1.14790307689364,2.0289783853389
"B","Bareroot",2,2,"Quebic","Quercus","bicolor",1.19836705056009,1.15063541538513,1.75575547722707,0.236334266675046,0.247622470399957,0.378022814180154,1.43470131723514,1.39825788578509,2.13377829140722
"B","Bareroot",2,2,"Quepal","Quercus","palustris",0.216633649676908,0.207529360321161,0.343224584489172,0.043763190730025,0.045185926729071,0.074731213464653,0.260396840406933,0.252715287050232,0.417955797953825
"B","Bareroot",3,3,"Acesai","Acer","saccharinum",81.4433749046059,76.2547994705625,80.7116032432968,15.4376798884292,15.9028249010622,16.8248040444743,96.8810547930351,92.1576243716247,97.5364072877711
"B","Bareroot",3,3,"Fraxpen","Fraxinus","pennsylvanica",0.532055233991639,0.587381010015951,0.821850954362885,0.103784223929051,0.125770753973562,0.17597575069937,0.63583945792069,0.713151763989513,0.997826705062255
"B","Bareroot",3,3,"Popdel","Populus","deltoides",1.64900767677038,1.62056458950642,2.66112816141651,0.31496520289738,0.341446689703724,0.56068940878794,1.96397287966776,1.96201127921014,3.22181757020445
"B","Bareroot",3,3,"Quebic","Quercus","bicolor",1.72008713254215,1.65257937187209,2.46494299584132,0.336830471900378,0.354534403297721,0.528905982283011,2.05691760444252,2.00711377516981,2.99384897812433
"C","Seedling",1,1,"Carill","Carya","illinoiensis",14.3662955951493,15.4093421976829,16.0140696306812,2.75599264026606,3.25013814648194,3.38176262303566,17.1222882354154,18.6594803441649,19.3958322537168
"C","Seedling",1,1,"Fraxpen","Fraxinus","pennsylvanica",0.803495348539664,0.867952618992677,1.20904838184318,0.155379637442944,0.184777912491985,0.257393584868808,0.958874985982608,1.05273053148466,1.46644196671199
"C","Seedling",1,1,"Moralb","Morus","alba",0.106294865303564,0.12100555968257,0.12356553336983,0.0219430467745683,0.0265417094158311,0.0271032214479863,0.128237912078132,0.147547269098401,0.150668754817816
"C","Seedling",1,1,"Popdel","Populus","deltoides",42.1029436293826,45.4643736358928,47.2813455856335,7.83175166907017,9.1376571385138,9.50284124596446,49.9346952984528,54.6020307744066,56.784186831598
"C","Seedling",1,1,"Quebic","Quercus","bicolor",1.75795289397961,1.69070202601455,2.42895534226609,0.341145329147924,0.360802379340417,0.518357048476485,2.09909822312754,2.05150440535496,2.94731239074258
"C","Seedling",2,2,"Acesai","Acer","saccharinum",187.483719887929,176.32553936885,193.519012093283,35.3411608753679,36.4895623965343,40.0260696859212,222.824880763297,212.815101765384,233.545081779204
