"pool","species","species.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"total.cwd.carbon","Unknown",4.31776978069515,"A","Balled-and-burlapped",-0.87015291076554,-1.64609121958828,-0.0916592898100438,-1.1646252583395,-0.546144587274943
"total.cwd.carbon","Unknown",4.31776978069515,"B","Bareroot",1.46491687457197,0.496384185766183,2.46970412876269,1.13853838045333,1.90669724447352
"total.cwd.carbon","Unknown",4.31776978069515,"C","Seedling",0.685653186513548,-0.363884740977105,1.69360851996994,0.349669493254505,1.15631568089834
"total.cwd.carbon","Unknown",4.31776978069515,"D","Acorn",-0.187217690842867,-1.36835337084442,1.01890474656446,-0.584691181259163,0.349567263852484
"total.cwd.carbon","Unknown",4.31776978069515,"E","Seedbank",-0.844080234821812,-2.09103533328829,0.358731771319715,-1.26678017366132,-0.283866005724696
"total.cwd.carbon","Unknown",4.31776978069515,"R","Reference",0.5040606086671,-0.701072307869438,1.66130684494454,0.0688775901741757,1.00050473585627
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"A","Balled-and-burlapped",-3.11075195044712,-6.64125432561519,0.522155569318864,-3.12388320756643,-0.473109215286133
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"B","Bareroot",-0.158177291857729,-1.72515737429601,1.41466405596778,-0.78616733219002,0.488049408337004
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"C","Seedling",-0.166468957278955,-1.75447199789084,1.44343393834119,-0.80387517029262,0.488597730710768
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"D","Acorn",-0.15685408420031,-1.72496226320339,1.41659776535798,-0.780966194078376,0.493018289857494
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"E","Seedbank",-0.189893322317304,-1.8282411529432,1.33693870619755,-0.831590953750306,0.448515977616643
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"R","Reference",0.299144845522927,-1.3759063311334,1.89245785230293,-0.346541514984572,0.98699712276062
"total.cwd.carbon","Populus deltoides",0.0532456522528148,"A","Balled-and-burlapped",-6.19272967819268,-8.03376906113607,-2.91821211540731,-7.60044598687051,-5.79045158024038
"total.cwd.carbon","Populus deltoides",0.0532456522528148,"B","Bareroot",-0.787350785287595,-2.33129533670901,0.517761448442736,-1.43065427550087,-0.428988743139137
"total.cwd.carbon","Populus deltoides",0.0532456522528148,"C","Seedling",1.20271651166685,0.173715985464821,2.10180807677388,1.05309092625477,1.81037722965522
"total.cwd.carbon","Populus deltoides",0.0532456522528148,"D","Acorn",0.0583583230102106,-1.43161748997406,1.61213058402624,-0.725476150394703,0.528347502499781
"total.cwd.carbon","Populus deltoides",0.0532456522528148,"E","Seedbank",-0.104657842116258,-1.58818587873961,0.931796849465611,0.201747424963278,0.969532048584583
"total.cwd.carbon","Populus deltoides",0.0532456522528148,"R","Reference",0.769538745720034,-0.911377058140081,1.97658627394029,0.612667699103331,1.97675530223948
"total.cwd.carbon","Salix nigra",1.35116601436125,"A","Balled-and-burlapped",-3.56911577097791,-7.15342174789719,0.375922499169542,-3.85866363507139,-0.982644827219996
"total.cwd.carbon","Salix nigra",1.35116601436125,"B","Bareroot",-0.100791984103822,-1.70154029460347,1.47338657632188,-0.768915916481714,0.549861463198107
"total.cwd.carbon","Salix nigra",1.35116601436125,"C","Seedling",-0.0793587562201279,-1.70133757969814,1.51216291035254,-0.771400850235825,0.539266686577863
"total.cwd.carbon","Salix nigra",1.35116601436125,"D","Acorn",-0.063307547437046,-1.66089391344119,1.55855667887271,-0.66547013770109,0.649198579288971
"total.cwd.carbon","Salix nigra",1.35116601436125,"E","Seedbank",-0.0986853923363988,-1.69098209471721,1.50406906261907,-0.725075917232552,0.598228687144178
"total.cwd.carbon","Salix nigra",1.35116601436125,"R","Reference",0.361133536454319,-1.36792378012599,2.13092157394468,-0.311609069417359,1.14405874759884
"large.snag.carbon","Fraxinus pennsylvanica",3.76478022341572,"A","Balled-and-burlapped",-2.31218501710642,-4.54503888220812,-0.00258020365957662,-2.55540913487365,-0.696446060399826
"large.snag.carbon","Fraxinus pennsylvanica",3.76478022341572,"B","Bareroot",0.115629536878224,-1.45622206077839,1.71657384679357,-0.464325647649765,0.791883810920068
"large.snag.carbon","Fraxinus pennsylvanica",3.76478022341572,"C","Seedling",-0.359191936257723,-1.88181158219442,1.18215737499928,-1.00387403723129,0.251663662247594
"large.snag.carbon","Fraxinus pennsylvanica",3.76478022341572,"D","Acorn",-0.317858944314685,-1.92093668694032,1.12703324770251,-0.928808194931061,0.339217026400569
"large.snag.carbon","Fraxinus pennsylvanica",3.76478022341572,"E","Seedbank",-0.344717890008525,-1.83905938210636,1.11041713420437,-0.86046811588637,0.30427164773089
