model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,5,95,25,75
strip.random,Strip random effects,TIC,Soil inorganic carbon,9.883886752,B,Bareroot,0.057818518,-0.619022653,0.785127385,-0.33869659,0.156685855
strip.random,Strip random effects,TIC,Soil inorganic carbon,9.883886752,C,Seedling,0.103762938,-0.542285064,0.817575386,-0.252343946,0.22323913
strip.random,Strip random effects,TIC,Soil inorganic carbon,9.883886752,D,Acorn,-1.182119506,-2.166345263,-0.11466479,-1.631774133,-0.860176815
strip.random,Strip random effects,TIC,Soil inorganic carbon,9.883886752,E,Seedbank,-1.680263439,-2.777097132,-0.573544569,-2.083763383,-1.221352857
strip.random,Strip random effects,TIC,Soil inorganic carbon,9.883886752,R,Reference,-1.535820376,-2.793344023,-0.309873161,-2.075053531,-1.134788116
simple,Fixed effects only,TC,Total soil carbon,112.0499441,A,Balled-and-burlapped,0.006589016,-0.068170307,0.084461639,-0.020816734,0.038607362
simple,Fixed effects only,TC,Total soil carbon,112.0499441,B,Bareroot,-0.074762155,-0.186904777,0.038126468,-0.117222363,-0.030045827
simple,Fixed effects only,TC,Total soil carbon,112.0499441,C,Seedling,-0.060309795,-0.173258443,0.050623707,-0.101515262,-0.015506045
simple,Fixed effects only,TC,Total soil carbon,112.0499441,D,Acorn,-0.096993063,-0.21078627,0.017346364,-0.141123499,-0.053099195
simple,Fixed effects only,TC,Total soil carbon,112.0499441,E,Seedbank,0.03705729,-0.065592414,0.14605423,-0.006292775,0.076082539
simple,Fixed effects only,TC,Total soil carbon,112.0499441,R,Reference,0.117915132,0.015564769,0.220433684,0.081419987,0.160673832
strip.random,Strip random effects,TC,Total soil carbon,112.0499441,A,Balled-and-burlapped,0.004584945,-0.091110407,0.105887762,-0.026892206,0.047030628
strip.random,Strip random effects,TC,Total soil carbon,112.0499441,B,Bareroot,-0.073724108,-0.208887876,0.064324346,-0.124483266,-0.021578536
strip.random,Strip random effects,TC,Total soil carbon,112.0499441,C,Seedling,-0.05817888,-0.196633922,0.077191085,-0.110580912,-0.006534311
strip.random,Strip random effects,TC,Total soil carbon,112.0499441,D,Acorn,-0.089627372,-0.231701927,0.056375536,-0.146223977,-0.038005245
strip.random,Strip random effects,TC,Total soil carbon,112.0499441,E,Seedbank,0.037914465,-0.094962955,0.172584924,-0.008563092,0.09021736
strip.random,Strip random effects,TC,Total soil carbon,112.0499441,R,Reference,0.119737818,-0.024208451,0.273088643,0.062716491,0.170834383
simple,Fixed effects only,n.herb.only,Herbaceous layer richness,14.05555556,A,Balled-and-burlapped,0.176493594,0.010319951,0.348226969,0.127630443,0.258776777
simple,Fixed effects only,n.herb.only,Herbaceous layer richness,14.05555556,B,Bareroot,-0.277629779,-0.560035025,0.002324504,-0.380247715,-0.163435796
simple,Fixed effects only,n.herb.only,Herbaceous layer richness,14.05555556,C,Seedling,-0.063978044,-0.314520003,0.184295228,-0.164735525,0.025045269
simple,Fixed effects only,n.herb.only,Herbaceous layer richness,14.05555556,D,Acorn,-0.154705476,-0.415799871,0.102128751,-0.253498765,-0.05303888
simple,Fixed effects only,n.herb.only,Herbaceous layer richness,14.05555556,E,Seedbank,-0.955515986,-1.39395532,-0.486015398,-1.065708787,-0.726547078
simple,Fixed effects only,n.herb.only,Herbaceous layer richness,14.05555556,R,Reference,-0.022451021,-0.261089928,0.226200384,-0.115199279,0.070590104
strip.random,Strip random effects,n.herb.only,Herbaceous layer richness,14.05555556,A,Balled-and-burlapped,0.147959255,-0.104459338,0.397348018,0.065906045,0.25544234
strip.random,Strip random effects,n.herb.only,Herbaceous layer richness,14.05555556,B,Bareroot,-0.250999497,-0.60930486,0.105002364,-0.39680528,-0.126852291
strip.random,Strip random effects,n.herb.only,Herbaceous layer richness,14.05555556,C,Seedling,-0.039694322,-0.387425764,0.296870992,-0.190132911,0.064763244
strip.random,Strip random effects,n.herb.only,Herbaceous layer richness,14.05555556,D,Acorn,-0.077151959,-0.444457824,0.300562984,-0.235705916,0.043107332
strip.random,Strip random effects,n.herb.only,Herbaceous layer richness,14.05555556,E,Seedbank,-0.91358835,-1.371737434,-0.45675675,-1.064439726,-0.714625771
strip.random,Strip random effects,n.herb.only,Herbaceous layer richness,14.05555556,R,Reference,0.011205455,-0.395425198,0.436641963,-0.153713854,0.144681997
simple,Fixed effects only,n.tree.only,Tree layer richness,2.111111111,A,Balled-and-burlapped,-0.143997409,-0.693692328,0.402133514,-0.252795038,0.168276751
simple,Fixed effects only,n.tree.only,Tree layer richness,2.111111111,B,Bareroot,0.45918246,-0.203125517,1.153950604,0.180795753,0.694549223
simple,Fixed effects only,n.tree.only,Tree layer richness,2.111111111,C,Seedling,0.033670277,-0.76256917,0.850326795,-0.237383498,0.360281599
simple,Fixed effects only,n.tree.only,Tree layer richness,2.111111111,D,Acorn,0.033475062,-0.752233548,0.864251512,-0.226309875,0.379460641
simple,Fixed effects only,n.tree.only,Tree layer richness,2.111111111,E,Seedbank,-0.498113416,-1.469293246,0.453262546,-0.799588627,-0.065303625
simple,Fixed effects only,n.tree.only,Tree layer richness,2.111111111,R,Reference,-0.681385028,-1.691350117,0.32473567,-0.97772306,-0.199997018
strip.random,Strip random effects,n.tree.only,Tree layer richness,2.111111111,A,Balled-and-burlapped,-0.2202718,-0.863375558,0.416733668,-0.350064813,0.1349858
strip.random,Strip random effects,n.tree.only,Tree layer richness,2.111111111,B,Bareroot,0.455784823,-0.330357013,1.247874874,0.146654421,0.741185717
strip.random,Strip random effects,n.tree.only,Tree layer richness,2.111111111,C,Seedling,0.063105329,-0.778028774,0.952773862,-0.239907651,0.409296603
strip.random,Strip random effects,n.tree.only,Tree layer richness,2.111111111,D,Acorn,0.076094992,-0.862168797,0.949595442,-0.224877213,0.446554467
strip.random,Strip random effects,n.tree.only,Tree layer richness,2.111111111,E,Seedbank,-0.497565618,-1.48732523,0.543491235,-0.788473161,-0.011588602
